基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
021477,银河ESG主题混合发起式C,混合型-偏股,YHESGZTHHFQSC,YINHEESGZHUTIHUNHEFAQISHIC,
021478,东方周期优选灵活配置混合C,混合型-灵活,DFZQYXLHPZHHC,DONGFANGZHOUQIYOUXUANLINGHUOPEIZHIHUNHEC,
021479,国联安稳健混合C,混合型-灵活,GLAWJHHC,GUOLIANANWENJIANHUNHEC,
021480,博时国证龙头家电ETF发起式联接A,指数型-股票,BSGZLTJDETFFQSLJA,BOSHIGUOZHENGLONGTOUJIADIANETFFAQISHILIANJIEA,
021481,博时国证龙头家电ETF发起式联接C,指数型-股票,BSGZLTJDETFFQSLJC,BOSHIGUOZHENGLONGTOUJIADIANETFFAQISHILIANJIEC,
021482,华夏中证红利低波动ETF发起式联接A,指数型-股票,HXZZHLDBDETFFQSLJA,HUAXIAZHONGZHENGHONGLIDIBODONGETFFAQISHILIANJIEA,
021483,华夏中证红利低波动ETF发起式联接C,指数型-股票,HXZZHLDBDETFFQSLJC,HUAXIAZHONGZHENGHONGLIDIBODONGETFFAQISHILIANJIEC,
021484,景顺长城上证科创板50成份ETF联接A,指数型-股票,JSCCSZKCB50CFETFLJA,JINGSHUNCHANGCHENGSHANGZHENGKECHUANGBAN50CHENGFENETFLIANJIEA,
021485,景顺长城上证科创板50成份ETF联接C,指数型-股票,JSCCSZKCB50CFETFLJC,JINGSHUNCHANGCHENGSHANGZHENGKECHUANGBAN50CHENGFENETFLIANJIEC,
021486,华夏聚丰混合(FOF)D,FOF-稳健型,HXJFHHFOFD,HUAXIAJUFENGHUNHEFOFD,
021487,工银瑞和3个月定开债券D,债券型-长债,GYRH3GYDKZQD,GONGYINRUIHE3GEYUEDINGKAIZHAIQUAND,
021488,长盛养老健康混合C,混合型-灵活,CSYLJKHHC,CHANGSHENGYANGLAOJIANKANGHUNHEC,
021489,中航趋势领航混合发起A,混合型-偏股,ZHQSLHHHFQA,ZHONGHANGQUSHILINGHANGHUNHEFAQIA,
021490,中航趋势领航混合发起C,混合型-偏股,ZHQSLHHHFQC,ZHONGHANGQUSHILINGHANGHUNHEFAQIC,
021491,中航远见领航混合发起A,混合型-偏股,ZHYJLHHHFQA,ZHONGHANGYUANJIANLINGHANGHUNHEFAQIA,
021492,中航远见领航混合发起C,混合型-偏股,ZHYJLHHHFQC,ZHONGHANGYUANJIANLINGHANGHUNHEFAQIC,
021493,摩根丰瑞债券D,债券型-混合一级,MGFRZQD,MOGENFENGRUIZHAIQUAND,
021494,长盛沪深300指数(LOF)C,指数型-股票,CSHS300ZSLOFC,CHANGSHENGHUSHEN300ZHISHULOFC,
021495,华夏养老2060五年持有混合发起式(FOF)Y,FOF-进取型,HXYL2060WNCYHHFQSFOFY,HUAXIAYANGLAO2060WUNIANCHIYOUHUNHEFAQISHIFOFY,
021496,广发养老目标2045三年持有混合发起式(FOF)Y,FOF-均衡型,GFYLMB2045SNCYHHFQSFOFY,GUANGFAYANGLAOMUBIAO2045SANNIANCHIYOUHUNHEFAQISHIFOFY,
021497,中欧颐享平衡养老目标三年持有混合发起(FOF)Y,FOF-均衡型,ZOYXPHYLMBSNCYHHFQFOFY,ZHONGOUYIXIANGPINGHENGYANGLAOMUBIAOSANNIANCHIYOUHUNHEFAQIFOFY,
021498,易方达汇悦平衡养老三年持有混合(FOF)Y,FOF-均衡型,YFDHYPHYLSNCYHHFOFY,YIFANGDAHUIYUEPINGHENGYANGLAOSANNIANCHIYOUHUNHEFOFY,
021499,博时黄金ETF联接E,指数型-其他,BSHJETFLJE,BOSHIHUANGJINETFLIANJIEE,
021500,景顺长城优质成长股票C,股票型,JSCCYZCZGPC,JINGSHUNCHANGCHENGYOUZHICHENGZHANGGUPIAOC,
021501,信澳科技驱动混合A,混合型-偏股,XAKJQDHHA,XINAOKEJIQUDONGHUNHEA,
021502,信澳科技驱动混合C,混合型-偏股,XAKJQDHHC,XINAOKEJIQUDONGHUNHEC,
021503,景顺长城成长之星股票C,股票型,JSCCCZZXGPC,JINGSHUNCHANGCHENGCHENGZHANGZHIXINGGUPIAOC,
021504,易方达养老2045五年持有混合(FOF)Y,FOF-均衡型,YFDYL2045WNCYHHFOFY,YIFANGDAYANGLAO2045WUNIANCHIYOUHUNHEFOFY,
021506,华泰紫金智盈债券E,债券型-长债,HTZJZYZQE,HUATAIZIJINZHIYINGZHAIQUANE,
021507,平安CFETS0-3年期政金债指数A,指数型-固收,PACFETS03NQZJZZSA,PINGANCFETS03NIANQIZHENGJINZHAIZHISHUA,
021508,平安CFETS0-3年期政金债指数C,指数型-固收,PACFETS03NQZJZZSC,PINGANCFETS03NIANQIZHENGJINZHAIZHISHUC,
021510,宏利半导体产业混合发起A,混合型-偏股,HLBDTCYHHFQA,HONGLIBANDAOTICHANYEHUNHEFAQIA,
021511,宏利半导体产业混合发起C,混合型-偏股,HLBDTCYHHFQC,HONGLIBANDAOTICHANYEHUNHEFAQIC,
021512,景顺长城支柱产业混合C,混合型-偏股,JSCCZZCYHHC,JINGSHUNCHANGCHENGZHIZHUCHANYEHUNHEC,
021513,富国港股通红利精选混合A,混合型-偏股,FGGGTHLJXHHA,FUGUOGANGGUTONGHONGLIJINGXUANHUNHEA,
021514,富国港股通红利精选混合C,混合型-偏股,FGGGTHLJXHHC,FUGUOGANGGUTONGHONGLIJINGXUANHUNHEC,
021515,汇添富红利智选混合发起式A,混合型-偏股,HTFHLZXHHFQSA,HUITIANFUHONGLIZHIXUANHUNHEFAQISHIA,
