基金代码,基金名称,基金类型,AXTI占比,存储占比,光芯片/光通信占比,电芯片/核心半导体占比,合计占比,匹配持仓数,核心持仓摘要
018001,鹏华芯片产业混合发起式C,混合型-偏股,0.00%,5.29%,0.00%,15.26%,20.55%,6,北方华创(电芯片/核心半导体) 5.97%; 澜起科技(存储) 5.29%; 海光信息(电芯片/核心半导体) 4.20%; 寒武纪(电芯片/核心半导体) 2.60%; 中芯国际(电芯片/核心半导体) 2.13%; 中芯国际(电芯片/核心半导体) 0.36%
588710,科创半导体设备ETF华泰柏瑞,指数型-股票,0.00%,0.00%,0.00%,20.55%,20.55%,2,华海清科(电芯片/核心半导体) 10.61%; 中微公司(电芯片/核心半导体) 9.94%
589020,科创半导体设备ETF鹏华,指数型-股票,0.00%,0.00%,0.00%,20.50%,20.50%,2,华海清科(电芯片/核心半导体) 10.60%; 中微公司(电芯片/核心半导体) 9.90%
018887,东海数字经济混合发起式C,混合型-偏股,0.00%,7.07%,0.00%,13.42%,20.49%,5,中芯国际(电芯片/核心半导体) 5.21%; 北方华创(电芯片/核心半导体) 5.04%; 通富微电(存储) 3.54%; 兆易创新(存储) 3.53%; 寒武纪(电芯片/核心半导体) 3.17%
018886,东海数字经济混合发起式A,混合型-偏股,0.00%,7.07%,0.00%,13.42%,20.49%,5,中芯国际(电芯片/核心半导体) 5.21%; 北方华创(电芯片/核心半导体) 5.04%; 通富微电(存储) 3.54%; 兆易创新(存储) 3.53%; 寒武纪(电芯片/核心半导体) 3.17%
009576,东方红智远三年持有混合,混合型-偏股,0.00%,0.00%,0.00%,20.46%,20.46%,4,北方华创(电芯片/核心半导体) 7.13%; 中芯国际(电芯片/核心半导体) 5.31%; 中微公司(电芯片/核心半导体) 4.28%; 晶晨股份(电芯片/核心半导体) 3.74%
024182,兴银上证科创板综合指数增强发起A,指数型-股票,0.00%,2.27%,2.65%,15.53%,20.45%,7,寒武纪(电芯片/核心半导体) 5.71%; 海光信息(电芯片/核心半导体) 5.16%; 源杰科技(光芯片/光通信) 2.65%; 佰维存储(存储) 2.27%; 中芯国际(电芯片/核心半导体) 2.06%; 芯原股份(电芯片/核心半导体) 1.52%; 中微公司(电芯片/核心半导体) 1.08%
024183,兴银上证科创板综合指数增强发起C,指数型-股票,0.00%,2.27%,2.65%,15.53%,20.45%,7,寒武纪(电芯片/核心半导体) 5.71%; 海光信息(电芯片/核心半导体) 5.16%; 源杰科技(光芯片/光通信) 2.65%; 佰维存储(存储) 2.27%; 中芯国际(电芯片/核心半导体) 2.06%; 芯原股份(电芯片/核心半导体) 1.52%; 中微公司(电芯片/核心半导体) 1.08%
012502,银华安盛混合,混合型-偏股,0.00%,0.00%,6.41%,14.01%,20.42%,4,新易盛(光芯片/光通信) 6.41%; 中芯国际(电芯片/核心半导体) 6.10%; 海光信息(电芯片/核心半导体) 4.08%; 寒武纪(电芯片/核心半导体) 3.83%
560660,云计算50ETF新华,指数型-股票,0.00%,0.00%,20.40%,0.00%,20.40%,2,新易盛(光芯片/光通信) 10.66%; 中际旭创(光芯片/光通信) 9.74%
005543,银华心诚灵活配置混合A,混合型-灵活,0.00%,0.00%,0.00%,20.36%,20.36%,3,海光信息(电芯片/核心半导体) 7.81%; 中芯国际(电芯片/核心半导体) 7.79%; 华虹半导体(电芯片/核心半导体) 4.76%
014042,银华心诚灵活配置混合C,混合型-灵活,0.00%,0.00%,0.00%,20.36%,20.36%,3,海光信息(电芯片/核心半导体) 7.81%; 中芯国际(电芯片/核心半导体) 7.79%; 华虹半导体(电芯片/核心半导体) 4.76%
017300,安信数字经济股票发起A,股票型,0.00%,4.77%,0.00%,15.50%,20.27%,8,北方华创(电芯片/核心半导体) 3.23%; 寒武纪(电芯片/核心半导体) 3.13%; 中芯国际(电芯片/核心半导体) 2.89%; 海光信息(电芯片/核心半导体) 2.86%; 中微公司(电芯片/核心半导体) 2.45%; 兆易创新(存储) 2.43%; 澜起科技(存储) 2.34%; 中芯国际(电芯片/核心半导体) 0.94%
