基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,14.48%,1,1
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,13.61%,1,2
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,01810,小米集团-W,广义离岸中国AI,中国离岸AI终端/汽车,10.28%,1,4
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,09888,百度集团-SW,广义离岸中国AI,中国离岸AI/自动驾驶/云,5.11%,1,8
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,09660,地平线机器人-W,广义离岸中国AI,中国离岸AI芯片/自动驾驶,2.95%,1,9
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,指数型-海外股票,00020,商汤-W,广义离岸中国AI,中国离岸AI软件,2.35%,1,10
018554,交银启嘉混合A,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,2.09%,1,8
018555,交银启嘉混合C,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,2.09%,1,8
018586,汇添富双享增利债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.67%,1,2
018587,汇添富双享增利债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.67%,1,2
018592,中欧汇利债券A,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.86%,1,2
018592,中欧汇利债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.50%,1,5
018593,中欧汇利债券C,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.86%,1,2
018593,中欧汇利债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.50%,1,5
018618,中信保诚远见成长混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.83%,1,1
018618,中信保诚远见成长混合A,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,4.21%,1,5
018619,中信保诚远见成长混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.83%,1,1
018619,中信保诚远见成长混合C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,4.21%,1,5
018620,兴全兴晨六个月持有混合A,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.00%,1,2
018620,兴全兴晨六个月持有混合A,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,1.49%,1,5
018621,兴全兴晨六个月持有混合C,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.00%,1,2
018621,兴全兴晨六个月持有混合C,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,1.49%,1,5
018626,富国兴享回报6个月持有期混合A,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.78%,1,2
018626,富国兴享回报6个月持有期混合A,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.45%,1,7
018626,富国兴享回报6个月持有期混合A,混合型-偏债,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.24%,1,11
018627,富国兴享回报6个月持有期混合C,混合型-偏债,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.78%,1,2
018627,富国兴享回报6个月持有期混合C,混合型-偏债,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.45%,1,7
018627,富国兴享回报6个月持有期混合C,混合型-偏债,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,0.24%,1,11
018640,华安沣润债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.18%,1,9
018641,华安沣润债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.18%,1,9
018672,广发安诚养老目标2040三年持有混合发起式(FOF)A,FOF-均衡型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,1.23%,1,1
018708,交银悦信精选混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.24%,1,6
018709,交银悦信精选混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.24%,1,6
018711,华泰柏瑞祥泰稳健养老目标偏债一年(FOF)A,FOF-稳健型,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.24%,1,2
