基金代码,基金名称,基金类型,AXTI占比,海外存储占比,海外光芯片/光通信占比,海外电芯片/核心半导体占比,海外合计占比,匹配持仓数,核心持仓摘要
010003,景顺长城电子信息产业股票A,股票型,0.00%,0.00%,0.00%,5.55%,5.55%,1,中芯国际(电芯片/核心半导体) 5.55%
010004,景顺长城电子信息产业股票C,股票型,0.00%,0.00%,0.00%,5.55%,5.55%,1,中芯国际(电芯片/核心半导体) 5.55%
010730,银华心佳两年持有期混合,混合型-偏股,0.00%,0.00%,0.00%,5.55%,5.55%,1,中芯国际(电芯片/核心半导体) 5.55%
016311,中欧优质企业混合A,混合型-偏股,0.00%,0.00%,5.55%,0.00%,5.55%,1,高伟电子(光芯片/光通信) 5.55%
016312,中欧优质企业混合C,混合型-偏股,0.00%,0.00%,5.55%,0.00%,5.55%,1,高伟电子(光芯片/光通信) 5.55%
024439,交银瑞安混合A,混合型-偏股,0.00%,0.00%,3.33%,2.15%,5.48%,2,长飞光纤光缆(光芯片/光通信) 3.33%; 华虹半导体(电芯片/核心半导体) 2.15%
024440,交银瑞安混合C,混合型-偏股,0.00%,0.00%,3.33%,2.15%,5.48%,2,长飞光纤光缆(光芯片/光通信) 3.33%; 华虹半导体(电芯片/核心半导体) 2.15%
159101,港股通科技ETF华夏,指数型-股票,0.00%,0.00%,0.00%,5.48%,5.48%,1,中芯国际(电芯片/核心半导体) 5.48%
159128,港股科技ETF天弘,指数型-股票,0.00%,0.00%,0.00%,5.48%,5.48%,1,中芯国际(电芯片/核心半导体) 5.48%
010340,易方达高质量严选三年持有,混合型-偏股,0.00%,0.00%,5.47%,0.00%,5.47%,1,长飞光纤光缆(光芯片/光通信) 5.47%
012647,中欧洞见一年持有混合,混合型-偏股,0.00%,0.00%,5.46%,0.00%,5.46%,1,高伟电子(光芯片/光通信) 5.46%
159636,港股通科技30ETF工银,指数型-股票,0.00%,0.00%,0.00%,5.46%,5.46%,1,中芯国际(电芯片/核心半导体) 5.46%
159251,港股通科技ETF万家,指数型-股票,0.00%,0.00%,0.00%,5.45%,5.45%,1,中芯国际(电芯片/核心半导体) 5.45%
010898,银河产业动力混合A,混合型-偏股,0.00%,0.00%,0.00%,5.44%,5.44%,1,华虹半导体(电芯片/核心半导体) 5.44%
018870,银河产业动力混合C,混合型-偏股,0.00%,0.00%,0.00%,5.44%,5.44%,1,华虹半导体(电芯片/核心半导体) 5.44%
